aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe,aluminium_high,ammonia_high,arsenic_high,barium_high,cadmium_high,chloramine_high,chromium_high,copper_high,bacteria_high,viruses_high,lead_high,nitrates_high,nitrites_high,mercury_high,perchlorate_high,radium_high,selenium_high,silver_high,uranium_high,danger_count,nitrate_nitrite_ratio,copper_lead_ratio,bacteria_viruses,arsenic_mercury
3.37,1.07,0.04,1.86,0.044026716572018586,2.9,0.84,1.92,0.7720247100353,0.32,0.003,0.082,18.91,1.73,0.008,23.6,0.37,0.02,0.46,0.08,1.0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,12,10.93063583815029,23.414634146341463,0.00096,0.00032
3.13,28.19,0.001,0.25,0.044026716572018586,3.58,0.68,1.29,0.7720247100353,0.49,0.001,0.079,15.05,1.09,0.005,23.68,3.39,0.01,0.2,0.03,0.0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,10,13.807339449541285,16.329113924050635,0.00049,5e-06
0.29,13.74,0.02,0.52,0.044026716572018586,2.99,0.11,1.14,0.7720247100353,0.13,0.008,0.071,18.7,1.25,0.004,39.31,2.18,0.04,0.01,0.02,0.0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,9,14.959999999999999,16.056338028169016,0.0010400000000000001,8e-05
1.51,0.14,0.02,0.06,0.044026716572018586,5.71,0.88,1.71,0.7720247100353,0.27,0.002,0.103,16.16,1.25,0.006,17.24,2.3,0.07,0.0,0.0,1.0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,11,12.928,16.601941747572816,0.00054,0.00012
1.09,28.84,0.01,2.16,0.044026716572018586,1.26,0.85,1.59,0.7720247100353,0.08,0.007,0.141,6.48,1.43,0.006,44.66,2.67,0.05,0.35,0.08,0.0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,10,4.531468531468532,11.276595744680852,0.0005600000000000001,6e-05
0.94,10.83,0.01,3.94,0.044026716572018586,5.38,0.72,0.3,0.7720247100353,0.38,0.002,0.131,8.21,1.28,0.005,43.79,4.27,0.06,0.25,0.05,0.0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,10,6.414062500000001,2.2900763358778624,0.00076,5e-05
2.68,9.02,0.04,3.98,0.044026716572018586,0.22,0.09,0.54,0.7720247100353,0.27,0.004,0.069,8.43,1.84,0.007,21.79,2.91,0.08,0.43,0.09,1.0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,9,4.581521739130435,7.826086956521739,0.00108,0.00028000000000000003
0.3,0.44,0.001,2.5,0.044026716572018586,6.11,0.35,1.79,0.7720247100353,0.67,0.67,0.136,14.27,1.73,0.006,16.99,4.12,0.09,0.42,0.01,1.0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,12,8.248554913294798,13.161764705882351,0.4489000000000001,6e-06
0.23,23.16,0.001,3.5,0.044026716572018586,0.68,0.47,0.54,0.7720247100353,0.05,0.001,0.166,11.59,1.2,0.006,28.03,0.92,0.07,0.03,0.08,1.0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,9,9.658333333333333,3.253012048192771,5e-05,6e-06
2.55,20.81,0.04,2.8,0.044026716572018586,7.7,0.82,0.44,0.7720247100353,0.77,0.77,0.112,10.09,1.34,0.001,11.0,1.53,0.01,0.27,0.06,1.0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,11,7.529850746268656,3.9285714285714284,0.5929,4e-05
0.86,18.64,0.04,1.31,0.044026716572018586,5.47,0.04,1.97,0.7720247100353,0.18,0.007,0.169,5.03,1.84,0.004,38.49,7.12,0.07,0.28,0.01,0.0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,11,2.733695652173913,11.65680473372781,0.00126,0.00016
4.32,10.15,0.04,1.98,0.044026716572018586,7.97,0.32,1.98,0.7720247100353,0.06,0.008,0.101,7.22,1.69,0.009,5.2,5.63,0.04,0.12,0.01,1.0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,13,4.272189349112426,19.603960396039604,0.00048,0.00035999999999999997
0.24,8.63,0.04,1.07,0.044026716572018586,6.19,0.49,0.65,0.7720247100353,0.58,0.58,0.093,10.16,1.21,0.003,10.21,5.8,0.05,0.24,0.05,1.0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,12,8.396694214876034,6.989247311827957,0.3364,0.00012
3.63,3.53,0.03,2.79,0.044026716572018586,4.08,0.81,1.23,0.7720247100353,0.79,0.79,0.025,15.92,1.87,0.002,38.51,7.18,0.07,0.45,0.03,0.0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,13,8.51336898395722,49.199999999999996,0.6241000000000001,6e-05
3.26,21.24,0.05,3.86,0.044026716572018586,2.49,0.51,1.06,0.7720247100353,0.84,0.84,0.139,15.88,1.25,0.001,55.98,4.87,0.08,0.02,0.07,0.0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,10,12.704,7.625899280575539,0.7055999999999999,5e-05
0.42,3.22,0.01,0.65,0.044026716572018586,0.9,0.83,1.08,0.7720247100353,0.23,0.007,0.184,2.67,1.21,0.001,13.9,4.86,0.0,0.21,0.05,1.0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,7,2.206611570247934,5.869565217391305,0.00161,1e-05
0.77,12.4,0.05,3.45,0.044026716572018586,4.5,0.04,0.14,0.7720247100353,0.42,0.0,0.015,9.11,1.69,0.008,30.41,4.34,0.01,0.35,0.0,1.0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,8,5.390532544378698,9.333333333333334,0.0,0.0004
0.6,2.21,0.001,3.53,0.044026716572018586,0.88,0.64,1.26,0.7720247100353,0.77,0.77,0.09,11.38,1.68,0.004,31.6,2.75,0.09,0.24,0.08,1.0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,10,6.773809523809525,14.0,0.5929,4e-06
0.58,29.19,0.02,1.71,0.044026716572018586,1.13,0.53,1.34,0.7720247100353,0.98,0.98,0.068,10.9,1.45,0.005,15.977809548453875,3.81,0.05,0.18,0.02,1.0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,11,7.517241379310345,19.705882352941178,0.9603999999999999,0.0001
3.82,13.59,0.01,0.84,0.044026716572018586,3.85,0.23,1.69,0.7720247100353,0.05,0.008,0.123,5.54,1.13,0.009,15.977809548453875,6.13,0.03,0.48,0.05,1.0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,11,4.902654867256637,13.739837398373984,0.0004,8.999999999999999e-05
2.78,3.14,0.02,0.22,0.044026716572018586,6.16,0.47,1.75,0.7720247100353,0.23,0.008,0.177,16.44,1.24,0.003,15.977809548453875,4.91,0.01,0.17,0.08,1.0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,12,13.258064516129034,9.887005649717514,0.00184,6e-05
3.62,3.82,0.001,0.58,0.044026716572018586,7.06,0.45,1.61,0.7720247100353,0.24,0.002,0.149,18.77,1.69,0.004,15.977809548453875,4.39,0.1,0.33,0.03,1.0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,12,11.106508875739644,10.80536912751678,0.00048,4e-06
3.88,21.08,0.01,3.74,0.044026716572018586,3.43,0.02,0.19,0.7720247100353,0.74,0.74,0.062,6.69,1.79,0.004,15.977809548453875,6.65,0.0,0.42,0.02,0.0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,10,3.7374301675977657,3.064516129032258,0.5476,4e-05
4.64,19.96,0.03,3.02,0.044026716572018586,4.4,0.89,0.38,0.7720247100353,0.76,0.76,0.121,7.47,1.37,0.008,15.977809548453875,3.29,0.07,0.26,0.09,1.0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,12,5.452554744525547,3.1404958677685952,0.5776,0.00024
2.25,12.28,0.02,2.16,0.044026716572018586,4.89,0.36,0.34,0.7720247100353,0.06,0.004,0.086,14.33,1.07,0.0,15.977809548453875,3.75,0.01,0.02,0.06,1.0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,10,13.39252336448598,3.953488372093024,0.00024,0.0
0.54,22.33,0.02,2.27,0.044026716572018586,6.57,0.89,0.93,0.7720247100353,0.51,0.51,0.105,5.88,1.48,0.002,15.977809548453875,0.63,0.04,0.43,0.05,1.0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,10,3.972972972972973,8.857142857142858,0.2601,4e-05
4.62,8.7,0.04,3.11,0.044026716572018586,2.15,0.71,0.7,0.32,0.65,0.65,0.168,2.43,1.16,0.003,15.977809548453875,1.44,0.09,0.31,0.01,1.0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,11,2.094827586206897,4.166666666666666,0.42250000000000004,0.00012
2.5,10.59,0.01,0.57,0.044026716572018586,2.38,0.26,1.55,1.09,0.72,0.72,0.137,13.82,1.45,0.001,15.977809548453875,7.4,0.09,0.37,0.03,1.0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,10,9.53103448275862,11.313868613138686,0.5184,1e-05
3.08,8.83,0.05,2.24,0.044026716572018586,4.77,0.03,1.11,0.36,0.27,0.006,0.189,16.25,1.56,0.01,15.977809548453875,7.81,0.01,0.21,0.05,1.0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,13,10.416666666666666,5.8730158730158735,0.0016200000000000001,0.0005
3.03,13.84,0.01,3.92,0.044026716572018586,7.81,0.41,1.97,0.61,0.52,0.52,0.095,13.32,1.74,0.005,15.977809548453875,2.95,0.01,0.12,0.02,0.0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,13,7.655172413793104,20.736842105263158,0.27040000000000003,5e-05
2.85,28.55,0.02,1.67,0.044026716572018586,2.79,0.6,0.42,1.13,0.05,0.004,0.053,12.29,1.37,0.006,15.977809548453875,1.29,0.08,0.12,0.04,0.0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,11,8.970802919708028,7.9245283018867925,0.0002,0.00012
1.38,18.97,0.04,1.47,0.044026716572018586,1.78,0.03,1.34,0.26,0.07,0.008,0.113,1.51,1.4,0.01,15.977809548453875,2.73,0.09,0.11,0.04,0.0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,9,1.0785714285714287,11.858407079646017,0.0005600000000000001,0.0004
2.73,19.42,0.02,1.78,0.044026716572018586,1.97,0.74,0.18,0.13,0.79,0.79,0.132,9.4,1.68,0.006,15.977809548453875,6.35,0.0,0.17,0.06,1.0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,10,5.595238095238096,1.3636363636363635,0.6241000000000001,0.00012
3.02,8.17,0.001,3.76,0.044026716572018586,3.4,0.29,1.28,0.32,0.53,0.53,0.175,0.8,1.09,0.007,15.977809548453875,6.53,0.01,0.32,0.02,1.0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,11,0.7339449541284404,7.314285714285715,0.28090000000000004,7e-06
1.96,16.66,0.001,2.93,0.044026716572018586,4.41,0.71,1.14,1.14,0.45,0.004,0.045,8.62,1.34,0.01,15.977809548453875,7.02,0.02,0.42,0.04,0.0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,11,6.432835820895521,25.333333333333332,0.0018000000000000002,1e-05
2.35,14.14,0.02,2.86,0.044026716572018586,5.27,0.01,0.71,0.52,0.39,0.007,0.146,7.72,1.57,0.003,15.977809548453875,2.92,0.07,0.41,0.01,1.0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,10,4.917197452229299,4.863013698630137,0.0027300000000000002,6e-05
2.45,27.89,0.02,3.25,0.044026716572018586,3.35,0.77,1.99,0.22,0.25,0.008,0.085,3.29,1.88,0.008,15.977809548453875,2.35,0.09,0.09,0.03,1.0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,10,1.7500000000000002,23.41176470588235,0.002,0.00016
2.67,18.79,0.02,0.07,0.044026716572018586,2.69,0.31,1.21,1.21,0.83,0.83,0.105,8.23,1.59,0.003,15.977809548453875,6.11,0.04,0.34,0.05,0.0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,10,5.176100628930818,11.523809523809524,0.6889,6e-05
1.12,14.79,0.04,3.08,0.044026716572018586,6.06,0.68,1.3,0.5,0.1,0.008,0.036,2.08,1.69,0.008,15.977809548453875,0.86,0.01,0.19,0.02,0.0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,11,1.2307692307692308,36.111111111111114,0.0008,0.00032
3.3,9.33,0.04,1.28,0.044026716572018586,7.56,0.22,0.95,0.28,0.53,0.53,0.182,18.6,1.21,0.009,15.977809548453875,0.28,0.08,0.08,0.09,1.0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,11,15.371900826446282,5.21978021978022,0.28090000000000004,0.00035999999999999997
0.43,28.29,0.01,0.88,0.044026716572018586,3.55,0.65,0.01,0.43,0.27,0.007,0.033,5.85,1.28,0.001,15.977809548453875,5.14,0.01,0.06,0.05,0.0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,7,4.5703125,0.30303030303030304,0.0018900000000000002,1e-05
